Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,PublicIP-In,EUW2-APS1-AWS-In-Bytes,,05/28/23 15:00:00,05/28/23 16:00:00,112
AmazonEC2,EBS:Gp3-IO-Write,EUW2-EBS:VolumeIOUsage.gp3,,05/21/23 21:00:00,05/21/23 22:00:00,1458
AmazonEC2,EBS:Gp3-IO-Write,EUW2-EBS:VolumeIOUsage.gp3,,05/26/23 21:00:00,05/26/23 22:00:00,1755
AmazonEC2,NatGateway,EUW2-NatGateway-Bytes,,05/28/23 19:00:00,05/28/23 20:00:00,320
AmazonEC2,RunInstances,EUW2-BoxUsage:t2.micro,,05/21/23 21:00:00,05/21/23 22:00:00,0.687222
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/28/23 23:00:00,05/29/23 00:00:00,2
AmazonEC2,NatGateway,EUW2-NatGateway-Bytes,,05/28/23 18:00:00,05/28/23 19:00:00,400
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/22/23 22:00:00,05/22/23 23:00:00,131324
AmazonEC2,EBS:Gp3-IO-Read,EUW2-EBS:VolumeIOUsage.gp3,,05/21/23 22:00:00,05/21/23 23:00:00,10760
AmazonEC2,EBS:Gp3-IO-Write,EUW2-EBS:VolumeIOUsage.gp3,,05/22/23 01:00:00,05/22/23 02:00:00,733
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeUsage.gp3,,05/26/23 22:00:00,05/26/23 23:00:00,8589934592
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/29/23 04:00:00,05/29/23 05:00:00,2
AmazonEC2,RunInstances,EUW2-BoxUsage:t2.micro,,05/22/23 01:00:00,05/22/23 02:00:00,0.084722
AmazonEC2,PublicIP-Out,EUW2-DataTransfer-Regional-Bytes,,05/28/23 19:00:00,05/28/23 20:00:00,7068
AmazonEC2,NatGateway,EUW2-NatGateway-Bytes,,05/28/23 15:00:00,05/28/23 16:00:00,400
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/28/23 14:00:00,05/28/23 15:00:00,200
AmazonEC2,PublicIP-In,EUW2-USE1-AWS-In-Bytes,,05/28/23 17:00:00,05/28/23 18:00:00,168
AmazonEC2,RunInstances,EUW2-C3DataTransfer-In-Bytes,,05/26/23 22:00:00,05/26/23 23:00:00,86085
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-IOPS.gp3,,05/22/23 01:00:00,05/22/23 02:00:00,0
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeUsage.gp3,,05/22/23 01:00:00,05/22/23 02:00:00,842290809
AmazonEC2,EBS:Gp3-IO-Read,EUW2-EBS:VolumeIOUsage.gp3,,05/21/23 23:00:00,05/22/23 00:00:00,35
AmazonEC2,EBS:Gp3-IO-Read,EUW2-EBS:VolumeIOUsage.gp3,,05/28/23 21:00:00,05/28/23 22:00:00,1
AmazonEC2,EBS:Gp3-IO-Read,EUW2-EBS:VolumeIOUsage.gp3,,05/22/23 21:00:00,05/22/23 22:00:00,174
AmazonEC2,PublicIP-Out,EUW2-DataTransfer-Regional-Bytes,,05/26/23 21:00:00,05/26/23 22:00:00,5928
AmazonEC2,RunInstances,EUW2-BoxUsage:t2.micro,,05/26/23 21:00:00,05/26/23 22:00:00,1
AmazonEC2,RunInstances,EUW2-DataTransfer-In-Bytes,,05/26/23 23:00:00,05/27/23 00:00:00,185712
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-IOPS.gp3,,05/26/23 22:00:00,05/26/23 23:00:00,0
AmazonEC2,EBS:Gp3-IO-Read,EUW2-EBS:VolumeIOUsage.gp3,,05/22/23 22:00:00,05/22/23 23:00:00,26
AmazonEC2,PublicIP-In,EUW2-APS1-AWS-In-Bytes,,05/28/23 22:00:00,05/28/23 23:00:00,28
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-Throughput.gp3,,05/26/23 23:00:00,05/27/23 00:00:00,0
AmazonEC2,EBS:Gp3-IO-Write,EUW2-EBS:VolumeIOUsage.gp3,,05/23/23 00:00:00,05/23/23 01:00:00,1743
AmazonEC2,NatGateway,EUW2-NatGateway-Bytes,,05/28/23 16:00:00,05/28/23 17:00:00,480
AmazonEC2,RunInstances,EUW2-DataTransfer-In-Bytes,,05/28/23 17:00:00,05/28/23 18:00:00,37656
AmazonEC2,EBS:Gp3-IO-Read,EUW2-EBS:VolumeIOUsage.gp3,,05/22/23 00:00:00,05/22/23 01:00:00,19
AmazonEC2,EBS:Gp3-IO-Write,EUW2-EBS:VolumeIOUsage.gp3,,05/26/23 22:00:00,05/26/23 23:00:00,2924

